,0,1
0,B,1552.0
1,P,406.0
2,C,54.0
3,P,203.0
4,B,709.0
5,P,643.0
6,C,62.0
7,P,359.0
8,C,107.0
9,P,1238.0
10,C,58.0
11,P,135.0
12,B,400.0
13,P,1430.0
14,C,117.0
15,B,426.0
16,P,3229.0
17,B,1002.0
18,P,5251.0
19,B,4842.0
20,P,14303.0
21,C,1564.0
22,P,42084.0
23,C,2869.0
24,B,7071.0
25,P,301.0
26,C,281.0
27,B,1346.0
28,P,1366.0
29,B,4368.0
30,P,1222.0
31,B,1449.0
32,P,13886.0
33,B,942.0
34,P,2653.0
35,C,1027.0
36,B,2649.0
37,P,12411.0
38,B,2040.0
39,P,11050.0
40,C,402.0
41,B,2539.0
42,P,3853.0
43,C,1882.0
44,P,5571.0
45,B,2052.0
46,P,14688.0
47,B,520.0
48,P,12974.0
49,C,197.0
50,B,1425.0
51,P,10403.0
52,C,2338.0
53,P,5011.0
54,B,604.0
55,C,92.0
56,P,550.0
57,B,6561.0
58,C,2955.0
59,P,3721.0
60,C,2804.0
61,P,8370.0
62,B,7544.0
63,C,80.0
64,P,4135.0
65,C,262.0
66,B,1748.0
67,C,488.0
68,P,8330.0
